,Team 1,Team 2,Date,Venue_Team1,Venue_Team2,Winner,Last10MatchesTeam1,Last10MatchesTeam2,Last10ConflictsTeam1,Last10ConflictsTeam2,label
0,Australia,England,1971-01-05,0,1,Australia,0.0,0.0,0.0,0.0,0.0
1,England,Australia,1972-08-24,0,1,England,0.0,1.0,0.0,1.0,0.0
2,England,Australia,1972-08-26,0,1,Australia,1.0,1.0,1.0,1.0,1.0
3,England,Australia,1972-08-28,0,1,England,1.0,2.0,1.0,2.0,0.0
4,New Zealand,Pakistan,1973-02-11,0,1,New Zealand,0.0,0.0,0.0,0.0,0.0
5,England,New Zealand,1973-07-18,0,1,England,2.0,1.0,0.0,0.0,0.0
6,England,West Indies,1973-09-05,0,1,England,3.0,0.0,0.0,0.0,0.0
7,England,West Indies,1973-09-07,0,1,West Indies,4.0,0.0,1.0,0.0,1.0
8,New Zealand,Australia,1974-03-30,0,1,Australia,1.0,2.0,0.0,0.0,1.0
9,New Zealand,Australia,1974-03-31,0,1,Australia,1.0,3.0,0.0,1.0,1.0
10,England,India,1974-07-13,0,1,England,4.0,0.0,0.0,0.0,0.0
11,England,India,1974-07-15,0,1,England,5.0,0.0,1.0,0.0,0.0
12,England,Pakistan,1974-08-31,0,1,Pakistan,6.0,0.0,0.0,0.0,1.0
13,England,Pakistan,1974-09-03,0,1,Pakistan,6.0,1.0,0.0,1.0,1.0
14,Australia,England,1975-01-01,0,1,England,4.0,6.0,2.0,2.0,1.0
15,England,India,1975-06-07,0,1,England,6.0,0.0,2.0,0.0,0.0
16,East Africa,New Zealand,1975-06-07,2,2,New Zealand,0.0,1.0,0.0,0.0,1.0
17,Australia,Pakistan,1975-06-07,2,2,Australia,4.0,2.0,0.0,0.0,0.0
18,Sri Lanka,West Indies,1975-06-07,2,2,West Indies,0.0,1.0,0.0,0.0,1.0
19,England,New Zealand,1975-06-11,0,1,England,7.0,2.0,1.0,0.0,0.0
20,East Africa,India,1975-06-11,2,2,India,0.0,0.0,0.0,0.0,1.0
21,Australia,Sri Lanka,1975-06-11,2,2,Australia,5.0,0.0,0.0,0.0,0.0
22,Pakistan,West Indies,1975-06-11,2,2,West Indies,2.0,2.0,0.0,0.0,1.0
23,England,East Africa,1975-06-14,0,1,England,7.0,0.0,0.0,0.0,0.0
24,India,New Zealand,1975-06-14,2,2,New Zealand,1.0,2.0,0.0,0.0,1.0
25,Australia,West Indies,1975-06-14,2,2,West Indies,6.0,3.0,0.0,0.0,1.0
26,Pakistan,Sri Lanka,1975-06-14,2,2,Pakistan,2.0,0.0,0.0,0.0,0.0
27,England,Australia,1975-06-18,0,1,Australia,7.0,6.0,3.0,2.0,1.0
28,New Zealand,West Indies,1975-06-18,2,2,West Indies,3.0,4.0,0.0,0.0,1.0
29,Australia,West Indies,1975-06-21,2,2,West Indies,6.0,5.0,0.0,1.0,1.0
30,Australia,West Indies,1975-12-20,0,1,Australia,6.0,6.0,0.0,2.0,0.0
31,New Zealand,India,1976-02-21,0,1,New Zealand,3.0,1.0,1.0,0.0,0.0
32,New Zealand,India,1976-02-22,0,1,New Zealand,4.0,1.0,2.0,0.0,0.0
33,England,West Indies,1976-08-26,0,1,West Indies,6.0,6.0,1.0,1.0,1.0
34,England,West Indies,1976-08-28,0,1,West Indies,6.0,7.0,1.0,2.0,1.0
